image,gender,status,set
00005352.jpg,0,1,train
00005081.jpg,0,1,train
00008384.jpg,1,0,train
00005296.jpg,0,3,train
00003151.jpg,0,0,train
00004646.jpg,0,0,train
00008192.jpg,0,1,train
00003927.jpg,0,1,train
00004544.jpg,0,0,train
00007668.jpg,0,2,train
00005886.jpg,0,2,train
00007327.jpg,1,0,train
00005904.jpg,0,0,train
00004506.jpg,0,0,train
00002518.jpg,0,1,train
00004063.jpg,0,1,train
00006711.jpg,1,2,train
00008444.jpg,0,0,train
00006572.jpg,1,0,train
00006249.jpg,0,1,train
00006093.jpg,1,0,train
00004576.jpg,0,0,train
00003822.jpg,1,0,train
00006845.jpg,0,1,train
00004411.jpg,0,1,train
00001288.jpg,0,0,train
00008632.jpg,1,0,train
00000127.jpg,1,0,train
00007362.jpg,0,1,train
00007620.jpg,0,1,train
00006464.jpg,1,0,train
00001046.jpg,0,2,train
00006826.jpg,0,0,train
00004568.jpg,1,0,train
00000778.jpg,0,0,train
00003164.jpg,0,0,train
00002098.jpg,1,0,train
00003177.jpg,0,0,train
00001931.jpg,0,1,train
00006330.jpg,0,1,train
00008276.jpg,0,1,train
00002913.jpg,0,0,train
00008043.jpg,1,0,train
00000279.jpg,0,0,train
00007010.jpg,0,2,train
00001517.jpg,0,2,train
00008104.jpg,0,0,train
00003078.jpg,0,0,train
00000897.jpg,1,0,train
00001907.jpg,0,1,train
00006224.jpg,0,1,train
00006446.jpg,1,0,train
00006265.jpg,0,1,train
00001016.jpg,1,0,train
00001060.jpg,0,0,train
00001676.jpg,0,1,train
00001877.jpg,1,3,train
00008197.jpg,0,1,train
00000161.jpg,0,0,train
00001956.jpg,0,0,train
00008749.jpg,0,1,train
00002732.jpg,1,0,train
00000550.jpg,0,3,train
00006995.jpg,1,0,train
00005423.jpg,1,1,train
00007873.jpg,0,1,train
00001933.jpg,0,1,train
00006531.jpg,0,0,train
00004937.jpg,0,0,train
00004623.jpg,0,0,train
00007373.jpg,0,1,train
00008017.jpg,0,1,train
00007124.jpg,0,1,train
00000609.jpg,0,2,train
00005114.jpg,0,1,train
00007454.jpg,0,2,train
00003697.jpg,0,2,train
00003221.jpg,0,0,train
00004542.jpg,1,0,train
00003541.jpg,0,0,train
00007977.jpg,0,1,train
00001776.jpg,1,3,train
00006029.jpg,1,1,train
00004310.jpg,0,1,train
00000486.jpg,0,1,train
00008687.jpg,0,0,train
00003974.jpg,0,1,train
00002400.jpg,0,1,train
00005755.jpg,0,0,train
00006519.jpg,1,0,train
00002459.jpg,0,1,train
00003237.jpg,0,0,train
